Data;CDI_Diario;Taxa
30/06/1994;0,363667;0,00363667
04/07/1994;0,398;0,00398000
05/07/1994;0,399667;0,00399667
06/07/1994;0,4;0,00400000
07/07/1994;0,397;0,00397000
08/07/1994;0,389;0,00389000
11/07/1994;0,375667;0,00375667
12/07/1994;0,38;0,00380000
13/07/1994;0,380333;0,00380333
14/07/1994;0,374667;0,00374667
15/07/1994;0,342667;0,00342667
18/07/1994;0,332333;0,00332333
19/07/1994;0,337667;0,00337667
20/07/1994;0,336333;0,00336333
21/07/1994;0,276333;0,00276333
22/07/1994;0,238;0,00238000
25/07/1994;0,244667;0,00244667
26/07/1994;0,234;0,00234000
27/07/1994;0,245333;0,00245333
28/07/1994;0,209667;0,00209667
29/07/1994;0,183333;0,00183333
01/08/1994;0,184333;0,00184333
02/08/1994;0,183667;0,00183667
03/08/1994;0,184333;0,00184333
04/08/1994;0,184;0,00184000
05/08/1994;0,174333;0,00174333
08/08/1994;0,177;0,00177000
09/08/1994;0,177333;0,00177333
10/08/1994;0,177333;0,00177333
11/08/1994;0,177333;0,00177333
12/08/1994;0,177667;0,00177667
15/08/1994;0,177;0,00177000
16/08/1994;0,175667;0,00175667
17/08/1994;0,175667;0,00175667
18/08/1994;0,176;0,00176000
19/08/1994;0,176;0,00176000
22/08/1994;0,176;0,00176000
23/08/1994;0,175333;0,00175333
24/08/1994;0,175333;0,00175333
25/08/1994;0,175333;0,00175333
26/08/1994;0,175667;0,00175667
29/08/1994;0,175333;0,00175333
30/08/1994;0,175;0,00175000
31/08/1994;0,177333;0,00177333
01/09/1994;0,175333;0,00175333
02/09/1994;0,177667;0,00177667
05/09/1994;0,178667;0,00178667
06/09/1994;0,178667;0,00178667
08/09/1994;0,179333;0,00179333
09/09/1994;0,178667;0,00178667
12/09/1994;0,179;0,00179000
13/09/1994;0,18;0,00180000
14/09/1994;0,180667;0,00180667
15/09/1994;0,18;0,00180000
16/09/1994;0,179667;0,00179667
19/09/1994;0,179333;0,00179333
20/09/1994;0,179333;0,00179333
21/09/1994;0,179333;0,00179333
22/09/1994;0,179333;0,00179333
23/09/1994;0,179;0,00179000
26/09/1994;0,179;0,00179000
27/09/1994;0,18;0,00180000
28/09/1994;0,18;0,00180000
29/09/1994;0,180333;0,00180333
30/09/1994;0,194333;0,00194333
04/10/1994;0,187333;0,00187333
05/10/1994;0,189667;0,00189667
06/10/1994;0,188333;0,00188333
07/10/1994;0,189;0,00189000
10/10/1994;0,188;0,00188000
11/10/1994;0,188;0,00188000
13/10/1994;0,188333;0,00188333
14/10/1994;0,188333;0,00188333
17/10/1994;0,188;0,00188000
18/10/1994;0,188;0,00188000
19/10/1994;0,188333;0,00188333
20/10/1994;0,188333;0,00188333
21/10/1994;0,188333;0,00188333
24/10/1994;0,188667;0,00188667
25/10/1994;0,188667;0,00188667
26/10/1994;0,188667;0,00188667
27/10/1994;0,189;0,00189000
28/10/1994;0,188667;0,00188667
31/10/1994;0,201333;0,00201333
01/11/1994;0,202333;0,00202333
03/11/1994;0,202333;0,00202333
04/11/1994;0,202667;0,00202667
07/11/1994;0,203667;0,00203667
08/11/1994;0,204;0,00204000
09/11/1994;0,204333;0,00204333
10/11/1994;0,204;0,00204000
11/11/1994;0,203;0,00203000
14/11/1994;0,203333;0,00203333
16/11/1994;0,203;0,00203000
17/11/1994;0,202667;0,00202667
18/11/1994;0,202667;0,00202667
21/11/1994;0,202667;0,00202667
22/11/1994;0,202333;0,00202333
23/11/1994;0,202;0,00202000
24/11/1994;0,201667;0,00201667
25/11/1994;0,201333;0,00201333
28/11/1994;0,201333;0,00201333
29/11/1994;0,199333;0,00199333
30/11/1994;0,183333;0,00183333
01/12/1994;0,183333;0,00183333
02/12/1994;0,183333;0,00183333
05/12/1994;0,183333;0,00183333
06/12/1994;0,175333;0,00175333
07/12/1994;0,175333;0,00175333
08/12/1994;0,175;0,00175000
09/12/1994;0,175;0,00175000
12/12/1994;0,174667;0,00174667
13/12/1994;0,174667;0,00174667
14/12/1994;0,172667;0,00172667
15/12/1994;0,165;0,00165000
16/12/1994;0,165333;0,00165333
19/12/1994;0,165333;0,00165333
20/12/1994;0,165;0,00165000
21/12/1994;0,166667;0,00166667
22/12/1994;0,167;0,00167000
23/12/1994;0,166667;0,00166667
26/12/1994;0,168333;0,00168333
27/12/1994;0,168;0,00168000
28/12/1994;0,168;0,00168000
29/12/1994;0,165;0,00165000
30/12/1994;0,165;0,00165000
02/01/1995;0,157333;0,00157333
03/01/1995;0,161333;0,00161333
04/01/1995;0,160333;0,00160333
05/01/1995;0,157667;0,00157667
06/01/1995;0,156333;0,00156333
09/01/1995;0,156;0,00156000
10/01/1995;0,156;0,00156000
11/01/1995;0,152;0,00152000
12/01/1995;0,153333;0,00153333
13/01/1995;0,154;0,00154000
16/01/1995;0,154;0,00154000
17/01/1995;0,154;0,00154000
18/01/1995;0,154;0,00154000
19/01/1995;0,154667;0,00154667
20/01/1995;0,153333;0,00153333
23/01/1995;0,153333;0,00153333
24/01/1995;0,151667;0,00151667
25/01/1995;0,151;0,00151000
26/01/1995;0,15;0,00150000
27/01/1995;0,149667;0,00149667
30/01/1995;0,150333;0,00150333
31/01/1995;0,178333;0,00178333
01/02/1995;0,178;0,00178000
02/02/1995;0,178;0,00178000
03/02/1995;0,178333;0,00178333
06/02/1995;0,179;0,00179000
07/02/1995;0,179;0,00179000
08/02/1995;0,178667;0,00178667
09/02/1995;0,179;0,00179000
10/02/1995;0,179333;0,00179333
13/02/1995;0,18;0,00180000
14/02/1995;0,179667;0,00179667
15/02/1995;0,179333;0,00179333
16/02/1995;0,18;0,00180000
17/02/1995;0,18;0,00180000
20/02/1995;0,18;0,00180000
21/02/1995;0,18;0,00180000
22/02/1995;0,18;0,00180000
23/02/1995;0,18;0,00180000
24/02/1995;0,140667;0,00140667
01/03/1995;0,14;0,00140000
02/03/1995;0,14;0,00140000
03/03/1995;0,140333;0,00140333
06/03/1995;0,140667;0,00140667
07/03/1995;0,141;0,00141000
08/03/1995;0,142;0,00142000
09/03/1995;0,142667;0,00142667
10/03/1995;0,249333;0,00249333
13/03/1995;0,21;0,00210000
14/03/1995;0,203333;0,00203333
15/03/1995;0,202333;0,00202333
16/03/1995;0,202333;0,00202333
17/03/1995;0,202333;0,00202333
20/03/1995;0,202;0,00202000
21/03/1995;0,202;0,00202000
22/03/1995;0,201667;0,00201667
23/03/1995;0,201667;0,00201667
24/03/1995;0,201667;0,00201667
27/03/1995;0,201667;0,00201667
28/03/1995;0,202;0,00202000
29/03/1995;0,202;0,00202000
30/03/1995;0,201667;0,00201667
31/03/1995;0,245333;0,00245333
03/04/1995;0,246;0,00246000
04/04/1995;0,246;0,00246000
05/04/1995;0,246;0,00246000
06/04/1995;0,246;0,00246000
07/04/1995;0,246;0,00246000
10/04/1995;0,246667;0,00246667
11/04/1995;0,248667;0,00248667
12/04/1995;0,249;0,00249000
17/04/1995;0,248667;0,00248667
18/04/1995;0,247667;0,00247667
19/04/1995;0,247;0,00247000
20/04/1995;0,246333;0,00246333
24/04/1995;0,246333;0,00246333
25/04/1995;0,246;0,00246000
26/04/1995;0,246;0,00246000
27/04/1995;0,246;0,00246000
28/04/1995;0,19;0,00190000
02/05/1995;0,190333;0,00190333
03/05/1995;0,192333;0,00192333
04/05/1995;0,192;0,00192000
05/05/1995;0,191;0,00191000
08/05/1995;0,191;0,00191000
09/05/1995;0,191667;0,00191667
10/05/1995;0,191667;0,00191667
11/05/1995;0,191333;0,00191333
12/05/1995;0,191;0,00191000
15/05/1995;0,190667;0,00190667
16/05/1995;0,19;0,00190000
17/05/1995;0,189667;0,00189667
18/05/1995;0,189333;0,00189333
19/05/1995;0,189333;0,00189333
22/05/1995;0,189333;0,00189333
23/05/1995;0,189333;0,00189333
24/05/1995;0,19;0,00190000
25/05/1995;0,189333;0,00189333
26/05/1995;0,189333;0,00189333
29/05/1995;0,189;0,00189000
30/05/1995;0,189;0,00189000
31/05/1995;0,189;0,00189000
01/06/1995;0,189;0,00189000
02/06/1995;0,189;0,00189000
05/06/1995;0,189;0,00189000
06/06/1995;0,189;0,00189000
07/06/1995;0,189667;0,00189667
08/06/1995;0,189333;0,00189333
09/06/1995;0,189333;0,00189333
12/06/1995;0,189333;0,00189333
13/06/1995;0,189333;0,00189333
14/06/1995;0,189333;0,00189333
16/06/1995;0,189333;0,00189333
19/06/1995;0,189333;0,00189333
20/06/1995;0,189;0,00189000
21/06/1995;0,189;0,00189000
22/06/1995;0,189;0,00189000
23/06/1995;0,189333;0,00189333
26/06/1995;0,189333;0,00189333
27/06/1995;0,189333;0,00189333
28/06/1995;0,189333;0,00189333
29/06/1995;0,189333;0,00189333
30/06/1995;0,189;0,00189000
03/07/1995;0,189;0,00189000
04/07/1995;0,189;0,00189000
05/07/1995;0,189;0,00189000
06/07/1995;0,189;0,00189000
07/07/1995;0,189;0,00189000
10/07/1995;0,189;0,00189000
11/07/1995;0,189;0,00189000
12/07/1995;0,188667;0,00188667
13/07/1995;0,188667;0,00188667
14/07/1995;0,188333;0,00188333
17/07/1995;0,188333;0,00188333
18/07/1995;0,188;0,00188000
19/07/1995;0,188;0,00188000
20/07/1995;0,188;0,00188000
21/07/1995;0,188;0,00188000
24/07/1995;0,188;0,00188000
25/07/1995;0,187667;0,00187667
26/07/1995;0,187667;0,00187667
27/07/1995;0,187667;0,00187667
28/07/1995;0,187667;0,00187667
31/07/1995;0,166667;0,00166667
01/08/1995;0,166667;0,00166667
02/08/1995;0,166667;0,00166667
03/08/1995;0,166667;0,00166667
04/08/1995;0,163333;0,00163333
07/08/1995;0,163333;0,00163333
08/08/1995;0,163333;0,00163333
09/08/1995;0,163;0,00163000
10/08/1995;0,163;0,00163000
11/08/1995;0,163;0,00163000
14/08/1995;0,162333;0,00162333
15/08/1995;0,161667;0,00161667
16/08/1995;0,161667;0,00161667
17/08/1995;0,161667;0,00161667
18/08/1995;0,161333;0,00161333
21/08/1995;0,161333;0,00161333
22/08/1995;0,161333;0,00161333
23/08/1995;0,161333;0,00161333
24/08/1995;0,161333;0,00161333
25/08/1995;0,161333;0,00161333
28/08/1995;0,161;0,00161000
29/08/1995;0,161;0,00161000
30/08/1995;0,161;0,00161000
31/08/1995;0,161667;0,00161667
01/09/1995;0,161667;0,00161667
04/09/1995;0,161667;0,00161667
05/09/1995;0,161333;0,00161333
06/09/1995;0,161333;0,00161333
08/09/1995;0,161333;0,00161333
11/09/1995;0,161333;0,00161333
12/09/1995;0,161333;0,00161333
13/09/1995;0,161333;0,00161333
14/09/1995;0,161;0,00161000
15/09/1995;0,161;0,00161000
18/09/1995;0,161;0,00161000
19/09/1995;0,161;0,00161000
20/09/1995;0,161;0,00161000
21/09/1995;0,161;0,00161000
22/09/1995;0,161;0,00161000
25/09/1995;0,161;0,00161000
26/09/1995;0,161;0,00161000
27/09/1995;0,161;0,00161000
28/09/1995;0,158333;0,00158333
29/09/1995;0,144;0,00144000
02/10/1995;0,144;0,00144000
03/10/1995;0,144333;0,00144333
04/10/1995;0,144333;0,00144333
05/10/1995;0,143667;0,00143667
06/10/1995;0,142333;0,00142333
09/10/1995;0,141667;0,00141667
10/10/1995;0,142333;0,00142333
11/10/1995;0,142333;0,00142333
13/10/1995;0,142333;0,00142333
16/10/1995;0,142333;0,00142333
17/10/1995;0,143333;0,00143333
18/10/1995;0,145333;0,00145333
19/10/1995;0,145333;0,00145333
20/10/1995;0,145667;0,00145667
23/10/1995;0,145667;0,00145667
24/10/1995;0,144667;0,00144667
25/10/1995;0,144333;0,00144333
26/10/1995;0,144;0,00144000
27/10/1995;0,142667;0,00142667
30/10/1995;0,142;0,00142000
31/10/1995;0,140333;0,00140333
01/11/1995;0,137333;0,00137333
03/11/1995;0,137667;0,00137667
06/11/1995;0,139;0,00139000
07/11/1995;0,14;0,00140000
08/11/1995;0,142333;0,00142333
09/11/1995;0,142;0,00142000
10/11/1995;0,143333;0,00143333
13/11/1995;0,144;0,00144000
14/11/1995;0,144;0,00144000
16/11/1995;0,144;0,00144000
17/11/1995;0,144;0,00144000
20/11/1995;0,143333;0,00143333
21/11/1995;0,138333;0,00138333
22/11/1995;0,138667;0,00138667
23/11/1995;0,138;0,00138000
24/11/1995;0,138;0,00138000
27/11/1995;0,138333;0,00138333
28/11/1995;0,138333;0,00138333
29/11/1995;0,138;0,00138000
30/11/1995;0,132;0,00132000
01/12/1995;0,132667;0,00132667
04/12/1995;0,133;0,00133000
05/12/1995;0,132667;0,00132667
06/12/1995;0,133;0,00133000
07/12/1995;0,133333;0,00133333
08/12/1995;0,133333;0,00133333
11/12/1995;0,134333;0,00134333
12/12/1995;0,134667;0,00134667
13/12/1995;0,134667;0,00134667
14/12/1995;0,139;0,00139000
15/12/1995;0,139333;0,00139333
18/12/1995;0,139;0,00139000
19/12/1995;0,139;0,00139000
20/12/1995;0,139;0,00139000
21/12/1995;0,138667;0,00138667
22/12/1995;0,138333;0,00138333
26/12/1995;0,135333;0,00135333
27/12/1995;0,133333;0,00133333
28/12/1995;0,124333;0,00124333
29/12/1995;0,124333;0,00124333
02/01/1996;0,117667;0,00117667
03/01/1996;0,117333;0,00117333
04/01/1996;0,112333;0,00112333
05/01/1996;0,112333;0,00112333
08/01/1996;0,112333;0,00112333
09/01/1996;0,112667;0,00112667
10/01/1996;0,113333;0,00113333
11/01/1996;0,113333;0,00113333
12/01/1996;0,113333;0,00113333
15/01/1996;0,113333;0,00113333
16/01/1996;0,114;0,00114000
17/01/1996;0,113667;0,00113667
18/01/1996;0,113333;0,00113333
19/01/1996;0,118333;0,00118333
22/01/1996;0,117;0,00117000
23/01/1996;0,116;0,00116000
24/01/1996;0,117667;0,00117667
25/01/1996;0,115333;0,00115333
26/01/1996;0,114667;0,00114667
29/01/1996;0,113667;0,00113667
30/01/1996;0,116;0,00116000
31/01/1996;0,121667;0,00121667
01/02/1996;0,119333;0,00119333
02/02/1996;0,119667;0,00119667
05/02/1996;0,119667;0,00119667
06/02/1996;0,119667;0,00119667
07/02/1996;0,119667;0,00119667
08/02/1996;0,119667;0,00119667
09/02/1996;0,119667;0,00119667
12/02/1996;0,12;0,00120000
13/02/1996;0,120667;0,00120667
14/02/1996;0,123;0,00123000
15/02/1996;0,123333;0,00123333
16/02/1996;0,124;0,00124000
21/02/1996;0,124333;0,00124333
22/02/1996;0,124333;0,00124333
23/02/1996;0,124;0,00124000
26/02/1996;0,120333;0,00120333
27/02/1996;0,119;0,00119000
28/02/1996;0,118333;0,00118333
29/02/1996;0,103333;0,00103333
01/03/1996;0,105667;0,00105667
04/03/1996;0,105;0,00105000
05/03/1996;0,103667;0,00103667
06/03/1996;0,104;0,00104000
07/03/1996;0,103667;0,00103667
08/03/1996;0,103333;0,00103333
11/03/1996;0,104333;0,00104333
12/03/1996;0,104;0,00104000
13/03/1996;0,103333;0,00103333
14/03/1996;0,103333;0,00103333
15/03/1996;0,103333;0,00103333
18/03/1996;0,103333;0,00103333
19/03/1996;0,103333;0,00103333
20/03/1996;0,103333;0,00103333
21/03/1996;0,103333;0,00103333
22/03/1996;0,103333;0,00103333
25/03/1996;0,103;0,00103000
26/03/1996;0,103;0,00103000
