Data;VarMensal
01/01/1980;0,0662
01/02/1980;0,0462
01/03/1980;0,0604
01/04/1980;0,0529
01/05/1980;0,057
01/06/1980;0,0531
01/07/1980;0,0555
01/08/1980;0,0495
01/09/1980;0,0423
01/10/1980;0,0948
01/11/1980;0,0667
01/12/1980;0,0661
01/01/1981;0,0684
01/02/1981;0,064
01/03/1981;0,0497
01/04/1981;0,0646
01/05/1981;0,0556
01/06/1981;0,0552
01/07/1981;0,0626
01/08/1981;0,055
01/09/1981;0,0526
01/10/1981;0,0508
01/11/1981;0,0527
01/12/1981;0,0593
01/01/1982;0,0697
01/02/1982;0,0664
01/03/1982;0,0571
01/04/1982;0,0589
01/05/1982;0,0666
01/06/1982;0,071
01/07/1982;0,0636
01/08/1982;0,0597
01/09/1982;0,0508
01/10/1982;0,0444
01/11/1982;0,0529
01/12/1982;0,0781
01/01/1983;0,0864
01/02/1983;0,0786
01/03/1983;0,0734
01/04/1983;0,0658
01/05/1983;0,0648
01/06/1983;0,0988
01/07/1983;0,1008
01/08/1983;0,0911
01/09/1983;0,103
01/10/1983;0,0887
01/11/1983;0,0738
01/12/1983;0,0868
01/01/1984;0,0967
01/02/1984;0,095
01/03/1984;0,0894
01/04/1984;0,0954
01/05/1984;0,0905
01/06/1984;0,1008
01/07/1984;0,0972
01/08/1984;0,0935
01/09/1984;0,1175
01/10/1984;0,1044
01/11/1984;0,1053
01/12/1984;0,1198
01/01/1985;0,1176
01/02/1985;0,1087
01/03/1985;0,1016
01/04/1985;0,082
01/05/1985;0,072
01/06/1985;0,0849
01/07/1985;0,1031
01/08/1985;0,1205
01/09/1985;0,1112
01/10/1985;0,1062
01/11/1985;0,1397
01/12/1985;0,1507
01/01/1986;0,1437
01/02/1986;0,1272
01/03/1986;0,0477
01/04/1986;0,0078
01/05/1986;0,014
01/06/1986;0,0127
01/07/1986;0,0171
01/08/1986;0,0355
01/09/1986;0,0172
01/10/1986;0,019
01/11/1986;0,0545
01/12/1986;0,1165
01/01/1987;0,1321
01/02/1987;0,1264
01/03/1987;0,1637
01/04/1987;0,191
01/05/1987;0,2145
01/06/1987;0,1971
01/07/1987;0,0921
01/08/1987;0,0487
01/09/1987;0,0778
01/10/1987;0,1122
01/11/1987;0,1508
01/12/1987;0,1415
01/01/1988;0,1889
01/02/1988;0,157
01/03/1988;0,176
01/04/1988;0,1929
01/05/1988;0,1742
01/06/1988;0,22
01/07/1988;0,2191
01/08/1988;0,2159
01/09/1988;0,2745
01/10/1988;0,2562
01/11/1988;0,2794
01/12/1988;0,287
01/01/1989;0,3749
01/02/1989;0,1678
01/03/1989;0,0682
01/04/1989;0,0833
01/05/1989;0,1792
01/06/1989;0,2865
01/07/1989;0,2774
01/08/1989;0,3371
01/09/1989;0,3756
01/10/1989;0,3977
01/11/1989;0,4782
01/12/1989;0,515
01/01/1990;0,6755
01/02/1990;0,7573
01/03/1990;0,8239
01/04/1990;0,1552
01/05/1990;0,0759
01/06/1990;0,1175
01/07/1990;0,1292
01/08/1990;0,1288
01/09/1990;0,1441
01/10/1990;0,1436
01/11/1990;0,1681
01/12/1990;0,1844
01/01/1991;0,2075
01/02/1991;0,2072
01/03/1991;0,1192
01/04/1991;0,0499
01/05/1991;0,0743
01/06/1991;0,1119
01/07/1991;0,1241
01/08/1991;0,1563
01/09/1991;0,1563
01/10/1991;0,2023
01/11/1991;0,2521
01/12/1991;0,2371
01/01/1992;0,2594
01/02/1992;0,2432
01/03/1992;0,214
01/04/1992;0,1993
01/05/1992;0,2486
01/06/1992;0,2021
01/07/1992;0,2183
01/08/1992;0,2214
01/09/1992;0,2463
01/10/1992;0,2524
01/11/1992;0,2249
01/12/1992;0,2524
01/01/1993;0,3035
01/02/1993;0,2498
01/03/1993;0,2726
01/04/1993;0,2775
01/05/1993;0,2769
01/06/1993;0,3007
01/07/1993;0,3072
01/08/1993;0,3296
01/09/1993;0,3569
01/10/1993;0,3392
01/11/1993;0,3556
01/12/1993;0,3684
01/01/1994;0,4131
01/02/1994;0,4027
01/03/1994;0,4275
01/04/1994;0,4268
01/05/1994;0,4403
01/06/1994;0,4743
01/07/1994;0,0684
01/08/1994;0,0186
01/09/1994;0,0153
01/10/1994;0,0262
01/11/1994;0,0281
01/12/1994;0,0171
01/01/1995;0,017
01/02/1995;0,0102
01/03/1995;0,0155
01/04/1995;0,0243
01/05/1995;0,0267
01/06/1995;0,0226
01/07/1995;0,0236
01/08/1995;0,0099
01/09/1995;0,0099
01/10/1995;0,0141
01/11/1995;0,0147
01/12/1995;0,0156
01/01/1996;0,0134
01/02/1996;0,0103
01/03/1996;0,0035
01/04/1996;0,0126
01/05/1996;0,0122
01/06/1996;0,0119
01/07/1996;0,0111
01/08/1996;0,0044
01/09/1996;0,0015
01/10/1996;0,003
01/11/1996;0,0032
01/12/1996;0,0047
01/01/1997;0,0118
01/02/1997;0,005
01/03/1997;0,0051
01/04/1997;0,0088
01/05/1997;0,0041
01/06/1997;0,0054
01/07/1997;0,0022
01/08/1997;-0,0002
01/09/1997;0,0006
01/10/1997;0,0023
01/11/1997;0,0017
01/12/1997;0,0043
01/01/1998;0,0071
01/02/1998;0,0046
01/03/1998;0,0034
01/04/1998;0,0024
01/05/1998;0,005
01/06/1998;0,0002
01/07/1998;-0,0012
01/08/1998;-0,0051
01/09/1998;-0,0022
01/10/1998;0,0002
01/11/1998;-0,0012
01/12/1998;0,0033
01/01/1999;0,007
01/02/1999;0,0105
01/03/1999;0,011
01/04/1999;0,0056
01/05/1999;0,003
01/06/1999;0,0019
01/07/1999;0,0109
01/08/1999;0,0056
01/09/1999;0,0031
01/10/1999;0,0119
01/11/1999;0,0095
01/12/1999;0,006
01/01/2000;0,0062
01/02/2000;0,0013
01/03/2000;0,0022
01/04/2000;0,0042
01/05/2000;0,0001
01/06/2000;0,0023
01/07/2000;0,0161
01/08/2000;0,0131
01/09/2000;0,0023
01/10/2000;0,0014
01/11/2000;0,0032
01/12/2000;0,0059
01/01/2001;0,0057
01/02/2001;0,0046
01/03/2001;0,0038
01/04/2001;0,0058
01/05/2001;0,0041
01/06/2001;0,0052
01/07/2001;0,0133
01/08/2001;0,007
01/09/2001;0,0028
01/10/2001;0,0083
01/11/2001;0,0071
01/12/2001;0,0065
01/01/2002;0,0052
01/02/2002;0,0036
01/03/2002;0,006
01/04/2002;0,008
01/05/2002;0,0021
01/06/2002;0,0042
01/07/2002;0,0119
01/08/2002;0,0065
01/09/2002;0,0072
01/10/2002;0,0131
01/11/2002;0,0302
01/12/2002;0,021
